CompanyName,RequiredSkills
Vianet,"['HTML', 'C++', 'SQL']"
Yomari,"['Java', 'Data Science', 'HTML']"
Bits Innovation,"['CSS', 'Machine Learning', 'JavaScript']"
IT Gurus,"['Data Science', 'SQL', 'C++']"
Nepal Agri Tech,"['JavaScript', 'C++', 'CSS']"
Nepal Media Tech,"['JavaScript', 'Python', 'C++']"
Nepal Cloud Solutions,"['Data Science', 'Python']"
Pathao,"['JavaScript', 'Machine Learning']"
Nepal Agri Tech,['HTML']
Stupa Tech,"['Data Science', 'HTML', 'Machine Learning']"
Krishi Tech,"['HTML', 'Python', 'R']"
IT Gurus,"['Data Science', 'HTML', 'SQL']"
Proshore,['CSS']
Nepal Automotive Tech,"['HTML', 'C++', 'Machine Learning', 'Java']"
Nepal Fin Tech,"['CSS', 'Data Science', 'C++']"
HoneyGuide Apps,"['R', 'SQL', 'HTML']"
Bits Innovation,"['HTML', 'Machine Learning']"
Nepal Retail Tech,"['HTML', 'R', 'CSS', 'Data Science']"
Real Time Solutions,"['Java', 'Python', 'SQL', 'CSS', 'R']"
Deerwalk,['CSS']
Nepal E-commerce Solutions,"['C++', 'HTML', 'Data Science']"
Nepal App Developers,"['Data Science', 'Python', 'JavaScript', 'R', 'CSS']"
SoftNEP,"['Data Science', 'SQL', 'Python', 'R']"
Nepal Wellness Tech,"['SQL', 'Java']"
Swift Technology,"['Java', 'C++']"
F1Soft,"['Python', 'CSS', 'C++', 'SQL', 'R']"
Yomari,"['Machine Learning', 'JavaScript']"
NAXA,['C++']
Nepal Software,"['C++', 'HTML', 'CSS', 'Java']"
Nepal Green Tech,"['Machine Learning', 'Python']"
Merojob,['R']
Nepal Digital Communications,['Machine Learning']
Nepal Telecom,"['SQL', 'Machine Learning', 'Python', 'C++', 'R']"
Nepal B2B,"['CSS', 'Java', 'SQL']"
Sajha Yatayat,"['SQL', 'JavaScript']"
Genese Solution,['HTML']
Webpage Nepal,['SQL']
Swift Technology,"['HTML', 'C++']"
Nepal Web Solutions,"['Java', 'R', 'JavaScript', 'CSS']"
Vianet,"['HTML', 'C++', 'SQL']"
SunBi Design Studio,['C++']
Nepware,"['R', 'Machine Learning', 'SQL', 'Data Science']"
Ansu Solutions,"['JavaScript', 'R']"
Vertex Craft,['JavaScript']
Neema Academy,"['CSS', 'Java', 'Data Science', 'JavaScript']"
Stupa IT,"['CSS', 'HTML', 'JavaScript']"
Nepal Smart Tech,"['Machine Learning', 'Java', 'HTML']"
Nepal Wireless,"['JavaScript', 'HTML', 'CSS']"
Elder IT Solutions,"['CSS', 'HTML', 'Machine Learning', 'R', 'Java']"
Eminence Ways,"['R', 'Machine Learning', 'C++', 'SQL']"
Braindigit,"['HTML', 'C++', 'SQL', 'Python']"
Unelma Platforms,"['JavaScript', 'SQL', 'R']"
Leapfrog Technology,"['C++', 'Python']"
Verscend,"['Python', 'JavaScript', 'CSS']"
eSewa,"['SQL', 'HTML']"
Yomari,"['Machine Learning', 'CSS', 'C++', 'Python']"
IntroCept,"['SQL', 'Python', 'Java', 'Machine Learning', 'R']"
WorldLink,['SQL']
SastoDeal,"['R', 'Python', 'C++', 'SQL', 'Machine Learning']"
Nepal Telecom Services,"['JavaScript', 'C++', 'HTML', 'Data Science', 'Python']"
ITONICS,"['HTML', 'Data Science', 'CSS', 'JavaScript', 'C++']"
BrainStation 23,"['Python', 'JavaScript', 'Java', 'SQL']"
Braindigit,"['CSS', 'HTML', 'SQL', 'R']"
Nepal Health Tech,"['Data Science', 'SQL']"
Nepal Media,['JavaScript']
Ansu Solutions,['Python']
Vertex Craft,"['Machine Learning', 'Python', 'HTML']"
CloudFactory,['C++']
LogPoint,"['Data Science', 'C++', 'JavaScript']"
Swift Technology,['JavaScript']
Braindigit IT Solution,"['CSS', 'Machine Learning']"
Nepal Network Solutions,"['R', 'Data Science', 'JavaScript', 'Java']"
Nepal Internet Exchange,"['Java', 'JavaScript', 'CSS']"
Nepal IT,"['JavaScript', 'Java']"
Nepal Food Tech,"['JavaScript', 'Python', 'Machine Learning', 'SQL']"
Bits Innovation,"['Data Science', 'CSS', 'Machine Learning', 'Python']"
WorldLink,"['SQL', 'HTML', 'Python']"
Nepal E-commerce Development,"['Java', 'Python', 'C++', 'HTML', 'Data Science']"
Stupa Tech,"['CSS', 'JavaScript', 'Python']"
AXIOM Nepal,['Machine Learning']
Nepal Wellness Tech,['Machine Learning']
Nepal Web Solutions,"['Data Science', 'JavaScript']"
Verisk Nepal,"['C++', 'R', 'CSS', 'Machine Learning']"
Javra Software,"['Machine Learning', 'R', 'Python']"
SmartMobe Solutions,"['C++', 'SQL', 'Python', 'HTML']"
Fusemachines,"['SQL', 'HTML', 'C++', 'Data Science', 'Machine Learning']"
BrainStation 23,"['C++', 'Machine Learning', 'HTML']"
Nepal Internet Exchange,"['C++', 'HTML']"
Nepal Fashion Tech,"['Java', 'C++', 'Data Science', 'R', 'JavaScript']"
Nepal Media,"['CSS', 'Java']"
Nepal Digital Communications,"['HTML', 'C++', 'SQL', 'Python', 'Java']"
Cotiviti,"['Java', 'C++', 'CSS', 'R']"
Mavorion Systems,"['CSS', 'Python', 'Data Science', 'R']"
Himalaya Organization,"['CSS', 'Python', 'C++', 'Machine Learning']"
Innovative Solutions,"['JavaScript', 'Java', 'HTML', 'Machine Learning']"
Javra Software,"['JavaScript', 'R', 'HTML']"
WorldLink,"['SQL', 'R']"
SmartMobe Solutions,"['Python', 'HTML', 'JavaScript', 'Java']"
SastoDeal,"['Machine Learning', 'Python']"
Sajha Yatayat,"['SQL', 'C++', 'Java', 'JavaScript']"
Nepal Graphic Design,"['JavaScript', 'CSS', 'Machine Learning', 'Java']"
NepaliPatro,['R']
Yellow Nepal,"['SQL', 'R', 'HTML', 'C++']"
Optimum Futurist,['Java']
Braindigit IT Solution,"['R', 'Python', 'Machine Learning', 'SQL']"
NAXA,"['SQL', 'C++', 'Data Science']"
Nepal Hospitality Tech,"['SQL', 'Machine Learning']"
Yomari,"['HTML', 'JavaScript']"
Ncell,"['JavaScript', 'Data Science', 'Java', 'HTML', 'Python']"
Nepal Beauty Tech,['JavaScript']
Sprout Technology,"['Data Science', 'SQL', 'C++', 'JavaScript']"
ITONICS,"['C++', 'CSS']"
Arhant Solutions,"['Python', 'Java', 'Data Science']"
Himalaya Organization,"['Data Science', 'CSS', 'Python', 'JavaScript', 'R']"
Verscend,"['HTML', 'SQL', 'Python', 'JavaScript', 'CSS']"
Khalti,"['HTML', 'SQL', 'Python']"
Nepal GIS,"['HTML', 'CSS', 'C++', 'Machine Learning']"
Open Eyes IT Solution,"['C++', 'CSS']"
Stupa Tech,"['C++', 'Data Science', 'JavaScript', 'Machine Learning']"
eSewa,['R']
Nepal Health News,"['SQL', 'JavaScript', 'CSS']"
Nepal App Developers,['R']
Sprout Technology,"['C++', 'Java', 'Data Science']"
Ncell,"['Java', 'SQL', 'C++']"
Nepal Smart Tech,"['HTML', 'Java', 'CSS', 'R', 'Python']"
Tech One Global,"['HTML', 'Java', 'Python', 'SQL']"
CloudTech,"['C++', 'HTML', 'Python']"
Deerwalk,"['Machine Learning', 'Data Science']"
Namaste Pay,['C++']
Nepal Automotive Tech,"['Data Science', 'R', 'Machine Learning', 'JavaScript', 'HTML']"
Information Technology Nepal,"['C++', 'SQL', 'Machine Learning', 'Python', 'R']"
Information Technology Nepal,"['R', 'Java', 'Data Science']"
Nepal IoT Solutions,['HTML']
Genese Solution,"['SQL', 'JavaScript', 'Python']"
Aayulogic,['R']
Nepal App Development,"['C++', 'Python', 'HTML']"
EB Pearls,"['Java', 'Python', 'Data Science', 'R']"
BrainStation 23,"['Data Science', 'Python', 'SQL', 'HTML']"
Proshore,"['C++', 'Data Science', 'SQL', 'JavaScript']"
Pycoders,"['SQL', 'JavaScript', 'Machine Learning', 'Python']"
Softmandu,['R']
Nepal Digital Communications,"['Machine Learning', 'JavaScript', 'Python', 'R', 'C++']"
Nepal Logistics Tech,"['HTML', 'Java', 'Data Science']"
eSewa,"['R', 'SQL', 'CSS', 'JavaScript']"
Namaste Pay,"['CSS', 'Machine Learning']"
Nepal E-commerce Development,"['C++', 'Java', 'R', 'Machine Learning']"
NAXA,"['Java', 'JavaScript', 'Machine Learning']"
Verisk Nepal,"['C++', 'SQL', 'Machine Learning', 'JavaScript']"
Nepal Real Estate Tech,"['C++', 'Data Science']"
Vertex Solutions,"['Data Science', 'C++', 'HTML', 'SQL']"
Nepal Beverage Tech,"['Python', 'HTML']"
LogPoint,['C++']
Green IT Solutions,"['JavaScript', 'C++']"
Fusemachines,"['R', 'CSS', 'HTML', 'C++']"
Pathao,"['SQL', 'CSS', 'R', 'C++']"
Nepal Health Tech,['SQL']
Tech Sansar,"['R', 'Data Science']"
Nepal GIS,['R']
Braindigit,"['Java', 'SQL', 'HTML']"
Nepal Drives,"['CSS', 'HTML', 'R']"
Sagoon,"['SQL', 'Python', 'Data Science', 'CSS', 'Java']"
Braindigit,"['Java', 'Data Science', 'CSS']"
BrainStation 23,"['C++', 'Python', 'SQL']"
Nepal Internet Exchange,"['Python', 'CSS']"
Tech In Asia Nepal,"['HTML', 'Java', 'R']"
Sustainable Solutions,"['CSS', 'JavaScript']"
Swift Technology,"['Machine Learning', 'R', 'Data Science', 'SQL', 'Python']"
Genese Solution,"['Data Science', 'CSS', 'R', 'Machine Learning', 'Python']"
Nepal Network Solutions,"['CSS', 'Python', 'JavaScript']"
Javra Software,['Python']
Nepal UX/UI Design,"['Machine Learning', 'SQL']"
HoneyGuide Apps,"['Data Science', 'Machine Learning', 'HTML', 'JavaScript', 'C++']"
Nepal IT,"['Python', 'Java', 'SQL', 'R']"
Echo Innovators,"['R', 'JavaScript', 'Java', 'SQL']"
Himalaya Organization,['JavaScript']
Nepal Cyber Solutions,"['Java', 'Python', 'HTML', 'Data Science', 'Machine Learning']"
Nepal Online Services,"['HTML', 'Java', 'Python']"
Nepal Wireless,['Data Science']
Yellow Nepal,['Data Science']
Nepal Agri Tech,['Data Science']
Foodmandu,"['Machine Learning', 'Python', 'Java', 'C++', 'HTML']"
Sustainable Solutions,"['HTML', 'JavaScript', 'CSS']"
Yomari,"['Data Science', 'R', 'SQL', 'C++', 'Machine Learning']"
Deerwalk,"['Python', 'Machine Learning', 'C++', 'R']"
Nepal Telecom,['Java']
Nepal Graphic Design,"['HTML', 'SQL']"
Digital Home International,['R']
Nepal Agri Tech,"['Python', 'Data Science', 'C++', 'Java', 'R']"
Nepal UX/UI Design,"['R', 'HTML']"
Nepal Media,"['Python', 'SQL', 'JavaScript', 'HTML']"
GrowByData,"['SQL', 'JavaScript']"
Nepal Edu Tech,"['Data Science', 'HTML', 'C++']"
Tech Sansar,"['Machine Learning', 'SQL', 'Data Science', 'Java']"
Nepal Graphic Design,"['CSS', 'Java', 'Machine Learning', 'Python', 'C++']"
Innovate Tech,"['Java', 'HTML', 'JavaScript']"
Nepal Wellness Tech,"['Data Science', 'JavaScript', 'R', 'HTML', 'Java']"
Nepal Network Solutions,"['Machine Learning', 'Java']"
eSewa,"['Data Science', 'SQL']"
Nepal IoT Solutions,"['R', 'Python']"
Nepal Payment Solutions,"['Data Science', 'R', 'SQL', 'Java', 'Machine Learning']"
EB Pearls,"['Python', 'Data Science', 'R', 'C++']"
Tiger Palace Resort,"['CSS', 'SQL', 'Machine Learning', 'R']"
Tech Central,"['Python', 'CSS']"
Nepal IoT Solutions,"['R', 'Data Science']"
Aayulogic,"['JavaScript', 'Machine Learning', 'Java', 'SQL', 'Data Science']"
Nepal Web Solutions,"['Data Science', 'C++', 'CSS', 'SQL', 'HTML']"
Nepal Edu Tech,"['CSS', 'Data Science', 'Java']"
Eminence Ways,"['SQL', 'JavaScript', 'Python', 'C++']"
Khalti,['Machine Learning']
Braindigit IT Solution,"['Java', 'Data Science', 'C++']"
Urban Girl,"['JavaScript', 'SQL', 'Java', 'CSS', 'Data Science']"
Iron Gate Technology,"['CSS', 'Java']"
Sagoon,"['SQL', 'CSS']"
F1Soft,"['Python', 'Data Science', 'SQL']"
Nepal Digital Solutions,"['Java', 'JavaScript']"
Nepal Computer,"['C++', 'SQL']"
Merojob,"['Java', 'Machine Learning', 'CSS']"
Nepal Telecom,"['Python', 'C++', 'Java']"
WorldLink,"['Machine Learning', 'Data Science']"
Javra Software,"['Java', 'HTML', 'R', 'Python']"
Unelma Platforms,"['Data Science', 'C++', 'CSS', 'Python']"
Braindigit,['Data Science']
ESR Tech,"['CSS', 'Python', 'SQL']"
Nepal Health News,"['HTML', 'JavaScript', 'CSS', 'R', 'SQL']"
Nepal Software Development,['R']
Nepal Cloud Solutions,"['JavaScript', 'C++', 'Python', 'SQL', 'R']"
ITONICS,"['HTML', 'Data Science', 'CSS', 'Machine Learning']"
Green IT Solutions,"['Data Science', 'R']"
Ncell,['Machine Learning']
Nepal Construction Tech,"['SQL', 'CSS', 'HTML', 'JavaScript', 'R']"
Fusemachines,"['CSS', 'C++', 'Data Science', 'R', 'Python']"
Tech In Asia Nepal,"['R', 'Java', 'CSS']"
Nepal Energy Tech,"['HTML', 'SQL', 'CSS', 'C++']"
Nepal E-commerce Development,"['SQL', 'Data Science', 'Java', 'HTML']"
Innovative Solutions,"['C++', 'JavaScript', 'Data Science', 'R', 'CSS']"
VertexWeb,['CSS']
Merojob,"['SQL', 'Java', 'Python', 'JavaScript', 'Data Science']"
Genese Solution,"['Java', 'R']"
Braindigit,"['SQL', 'Data Science', 'Machine Learning', 'R', 'C++']"
F1Soft,['R']
Nepal IT Services,['R']
Nepal Beauty Tech,"['CSS', 'Data Science', 'Java', 'R']"
Kantipur Digital Corp,"['C++', 'CSS', 'Data Science', 'Java', 'HTML']"
IntroCept,"['JavaScript', 'CSS', 'HTML']"
Nepal Edu Tech,"['JavaScript', 'R', 'CSS']"
Mercantile Communications,"['Java', 'JavaScript', 'C++']"
Stupa Tech,"['Java', 'CSS', 'SQL']"
Aayulogic,"['R', 'HTML', 'SQL', 'Java']"
SunBi Design Studio,"['HTML', 'Python', 'CSS', 'R', 'Data Science']"
Himalaya Organization,"['HTML', 'Python', 'Java', 'Machine Learning']"
Nepal Computer,['HTML']
Aayulogic,"['Java', 'R', 'Machine Learning', 'HTML']"
Digital Home International,"['SQL', 'Machine Learning', 'JavaScript', 'Python']"
eSewa,"['JavaScript', 'R', 'Data Science']"
Swift Technology,['R']
Nepal Media Tech,"['HTML', 'Python', 'JavaScript', 'C++', 'CSS']"
Nepal Digital Solutions,"['Data Science', 'JavaScript', 'Python', 'SQL', 'C++']"
Braindigit,"['Java', 'HTML', 'C++']"
Kantipur Digital Corp,"['CSS', 'JavaScript']"
Yellow Nepal,"['Machine Learning', 'CSS', 'Python', 'C++', 'HTML']"
Merojob,"['Java', 'CSS']"
Bits Innovation,"['HTML', 'R', 'CSS']"
Nepal Retail Tech,"['SQL', 'CSS']"
Nepal Food Tech,['R']
Nepal Cloud Solutions,"['C++', 'R', 'JavaScript']"
Himalaya Organization,"['Python', 'SQL', 'C++', 'R']"
Nepal Software Development,"['Data Science', 'SQL']"
Tech Sansar,"['CSS', 'Data Science']"
Nepal AI Solutions,"['JavaScript', 'R', 'CSS', 'SQL', 'Python']"
Nepal E-commerce Development,"['SQL', 'JavaScript', 'CSS']"
Nepal B2B,"['Java', 'Machine Learning']"
ESignature,"['JavaScript', 'Data Science', 'Java', 'HTML', 'CSS']"
One Click Innovation,"['Java', 'Machine Learning']"
Pycoders,"['Machine Learning', 'Python', 'R', 'HTML']"
Nepal Software Development,"['JavaScript', 'SQL', 'C++', 'CSS']"
ESignature,"['C++', 'Machine Learning', 'Data Science', 'R']"
Nepal Robotics Solutions,"['HTML', 'Machine Learning', 'CSS', 'C++']"
Nepal Telecom,"['Data Science', 'Java']"
Nepal Internet Exchange,"['Machine Learning', 'SQL', 'Data Science', 'HTML']"
Merojob,"['HTML', 'Machine Learning']"
EB Pearls,"['SQL', 'CSS']"
IntroCept,"['HTML', 'Python', 'Data Science', 'Java', 'C++']"
Nepal Software,"['Machine Learning', 'CSS']"
EB Pearls,"['Java', 'JavaScript', 'R', 'SQL']"
Stupa Tech,"['SQL', 'Data Science', 'CSS', 'Python', 'Java']"
Tech Sansar,['SQL']
Nepal Cyber Security,['Java']
Mercantile Communications,"['Data Science', 'Machine Learning', 'JavaScript', 'SQL']"
Nepal Drives,"['Python', 'Machine Learning', 'Data Science', 'HTML']"
Sprout Technology,"['Machine Learning', 'C++', 'SQL']"
Nepal Wireless,"['SQL', 'JavaScript', 'Python', 'HTML']"
Sajha Yatayat,"['SQL', 'JavaScript', 'Python', 'HTML', 'Java']"
Optimum Futurist,"['R', 'CSS']"
Digi Technolab,"['C++', 'Java', 'Data Science']"
Verscend,"['HTML', 'Data Science', 'SQL']"
Nepal Digital Solutions,"['R', 'SQL', 'C++', 'Python', 'Java']"
IT Gurus,"['JavaScript', 'R', 'SQL']"
Pycoders,"['HTML', 'Machine Learning', 'Java']"
F1Soft International,"['Python', 'HTML']"
Tech Central,"['Java', 'HTML', 'JavaScript']"
